epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.5925925970077515,9.999999747378752e-05,0.9850656986236572,0.7771164178848267,0.7828816175460815,0.7134809494018555,0.9018545150756836
1,0.6154927015304565,9.999999747378752e-05,0.8770202398300171,0.7990244626998901,0.7757489085197449,0.6720911860466003,0.9226818680763245
2,0.640625,9.999999747378752e-05,0.8084564805030823,0.820105791091919,0.788587749004364,0.6529702544212341,0.921255350112915
3,0.6505456566810608,9.999999747378752e-05,0.7708965539932251,0.8291170597076416,0.8176890015602112,0.560168445110321,0.9386590719223022
4,0.6674934029579163,9.999999747378752e-05,0.7548548579216003,0.8393684029579163,0.8236804604530334,0.5331721901893616,0.9449357986450195
5,0.6819609999656677,9.999999747378752e-05,0.714631199836731,0.8467261791229248,0.822253942489624,0.544111967086792,0.946362316608429
6,0.6898974776268005,9.999999747378752e-05,0.6934044361114502,0.8501157164573669,0.8388017416000366,0.497707724571228,0.9557774662971497
7,0.6907241940498352,9.999999747378752e-05,0.6601377725601196,0.8534226417541504,0.8436519503593445,0.4768698811531067,0.9600570797920227
8,0.7051917910575867,9.999999747378752e-05,0.6411644220352173,0.8658233880996704,0.8356633186340332,0.48462149500846863,0.9577745795249939
9,0.7127149701118469,9.999999747378752e-05,0.6355994343757629,0.8708664178848267,0.8547788858413696,0.4452439248561859,0.9666191339492798
10,0.7206514477729797,9.999999747378752e-05,0.6170651316642761,0.8755787014961243,0.8604850172996521,0.43070167303085327,0.9694721698760986
11,0.7214781641960144,9.999999747378752e-05,0.5885899662971497,0.8729332089424133,0.8684735894203186,0.40783819556236267,0.9674750566482544
12,0.7341269850730896,9.999999747378752e-05,0.5802044868469238,0.8811177015304565,0.8844507932662964,0.3770751357078552,0.9743223786354065
13,0.7353670597076416,9.999999747378752e-05,0.5643513798713684,0.8859127163887024,0.883024275302887,0.38429832458496094,0.9728958606719971
14,0.7504133582115173,9.999999747378752e-05,0.5437366366386414,0.8954199552536011,0.8821683526039124,0.368500292301178,0.9748930335044861
15,0.7496693134307861,9.999999747378752e-05,0.5423021912574768,0.8930224776268005,0.8727532029151917,0.3827616572380066,0.9717546105384827
16,0.7509093880653381,9.999999747378752e-05,0.5222387313842773,0.8950065970420837,0.8893010020256042,0.3526386022567749,0.9771754741668701
17,0.7567790746688843,9.999999747378752e-05,0.5230584740638733,0.8983961343765259,0.8864479064941406,0.3467077612876892,0.9771754741668701
18,0.7570270895957947,9.999999747378752e-05,0.4943051338195801,0.9023644328117371,0.8967189788818359,0.3334941864013672,0.9780313968658447
19,0.7714120149612427,9.999999747378752e-05,0.49757587909698486,0.9052579402923584,0.9038516283035278,0.32258838415145874,0.9803138375282288
20,0.7713293433189392,9.999999747378752e-05,0.47549623250961304,0.9066633582115173,0.9024251103401184,0.30969369411468506,0.982025682926178
21,0.7752149701118469,9.999999747378752e-05,0.47041085362434387,0.9085648059844971,0.9021397829055786,0.3161509931087494,0.9794579148292542
22,0.7817460298538208,9.999999747378752e-05,0.45174431800842285,0.9155092835426331,0.9089871644973755,0.29870039224624634,0.9817403554916382
23,0.7795965671539307,9.999999747378752e-05,0.44865623116493225,0.9098048806190491,0.9035663604736328,0.31049156188964844,0.9808844327926636
24,0.7889384627342224,9.999999747378752e-05,0.43044111132621765,0.9188161492347717,0.9118402004241943,0.28372934460639954,0.9860199689865112
