epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.20978207886219025,0.0010000000474974513,3.2915589809417725,0.3720422685146332,0.03137755021452904,5.667745590209961,0.11020407825708389
1,0.16407379508018494,0.0010000000474974513,3.3445510864257812,0.3079429864883423,0.05943877622485161,4.532428741455078,0.1071428582072258
2,0.1303805708885193,0.0010000000474974513,3.29620099067688,0.27634674310684204,0.03163265436887741,5.128576278686523,0.06505101919174194
3,0.15979483723640442,0.0010000000474974513,3.1294608116149902,0.32426536083221436,0.0173469390720129,4.872323036193848,0.07066326588392258
4,0.1753520965576172,0.0010000000474974513,2.9915902614593506,0.34849387407302856,0.03341836854815483,4.834793567657471,0.1051020398736
5,0.1340644359588623,0.0005000000237487257,3.0718047618865967,0.2732296288013458,0.024234693497419357,4.60615348815918,0.11862245202064514
6,0.1783275306224823,0.0005000000237487257,2.8308258056640625,0.3381507098674774,0.03520408272743225,4.205437660217285,0.13954082131385803
7,0.23794950544834137,0.0005000000237487257,2.5564157962799072,0.4182606339454651,0.09566326439380646,4.316259384155273,0.17984694242477417
8,0.2918473184108734,0.0005000000237487257,2.3370704650878906,0.47853440046310425,0.10433673113584518,3.629359722137451,0.234183669090271
9,0.3343534767627716,0.0005000000237487257,2.1412484645843506,0.5274731516838074,0.09846939146518707,3.770012140274048,0.27244898676872253
10,0.3798917531967163,0.0005000000237487257,1.9455821514129639,0.5717929005622864,0.11147959530353546,3.8821568489074707,0.2818877696990967
11,0.4257417321205139,0.0005000000237487257,1.7805824279785156,0.6202499270439148,0.15790815651416779,3.292267084121704,0.3242346942424774
12,0.48094308376312256,0.0005000000237487257,1.56383216381073,0.6736660003662109,0.16249999403953552,3.522737503051758,0.38163265585899353
13,0.5353792905807495,0.0005000000237487257,1.3622337579727173,0.7267704010009766,0.22168366611003876,3.0981807708740234,0.4650510251522064
14,0.593697726726532,0.0005000000237487257,1.1747362613677979,0.7783445119857788,0.23341836035251617,3.0504043102264404,0.5265306234359741
15,0.6472838521003723,0.0005000000237487257,0.9911693334579468,0.8254696726799011,0.26760202646255493,2.958608627319336,0.6311224699020386
16,0.7122616171836853,0.0005000000237487257,0.8106204271316528,0.8723681569099426,0.3910714387893677,2.1013107299804688,0.6811224222183228
17,0.7592734098434448,0.0005000000237487257,0.67646324634552,0.8980135321617126,0.3390306234359741,2.52793550491333,0.6502550840377808
18,0.7985491156578064,0.0005000000237487257,0.5685828924179077,0.9156110882759094,0.4137755036354065,2.411454916000366,0.7372449040412903
19,0.8272266387939453,0.0005000000237487257,0.4862012267112732,0.9298648238182068,0.512499988079071,1.842416763305664,0.7576530575752258
20,0.8479129672050476,0.0005000000237487257,0.42640233039855957,0.9409731030464172,0.6170918345451355,1.371795415878296,0.844132661819458
21,0.8665589690208435,0.0005000000237487257,0.37651538848876953,0.9470373392105103,0.5170918107032776,1.8373154401779175,0.7770408391952515
22,0.878063976764679,0.0005000000237487257,0.3341909945011139,0.9534132480621338,0.730867326259613,0.717004656791687,0.9489796161651611
23,0.8948397636413574,0.0005000000237487257,0.2909797728061676,0.9593357443809509,0.6767857074737549,1.0007191896438599,0.9102040529251099
24,0.9029442667961121,0.0005000000237487257,0.2641460597515106,0.9633030295372009,0.6744897961616516,1.1303094625473022,0.893367350101471
25,0.9091501832008362,0.0005000000237487257,0.2540943920612335,0.9661084413528442,0.7619897723197937,0.7398802042007446,0.9262754917144775
26,0.9077049493789673,0.0002500000118743628,0.24804793298244476,0.9633597135543823,0.8630102276802063,0.4168330729007721,0.969132661819458
27,0.9217036366462708,0.0002500000118743628,0.21410247683525085,0.9685171246528625,0.9211734533309937,0.2585870027542114,0.9839285612106323
28,0.9298648238182068,0.0002500000118743628,0.18788863718509674,0.97435462474823,0.8979591727256775,0.2893713414669037,0.984183669090271
29,0.9353055953979492,0.0002500000118743628,0.18002955615520477,0.9754597544670105,0.9369897842407227,0.19833025336265564,0.9897959232330322
